          WD01/DL07 grain model for R_V=3.1, q_PAH=0.046
 2.000E-03 = a1 (um)
 2.000E-02 = a2 (um)
                              sigma_ext (um^2/H)
           --------- carbon -----------  -------- silicate ----------
lambda      a<a1     a1<a<a2    a2<a      a<a1     a1<a<a2    a2<a 
 (um)     (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H)  (um^2/H) 
9.290E-01 1.597E-16 2.853E-16 1.325E-14 1.312E-17 9.638E-17 8.602E-15
9.376E-01 1.629E-16 2.817E-16 1.315E-14 1.301E-17 9.552E-17 8.388E-15
9.462E-01 1.685E-16 2.787E-16 1.305E-14 1.289E-17 9.467E-17 8.177E-15
9.550E-01 1.772E-16 2.766E-16 1.295E-14 1.278E-17 9.383E-17 7.970E-15
9.638E-01 1.901E-16 2.755E-16 1.285E-14 1.267E-17 9.299E-17 7.767E-15
9.727E-01 2.087E-16 2.759E-16 1.274E-14 1.256E-17 9.217E-17 7.567E-15
9.817E-01 2.356E-16 2.785E-16 1.264E-14 1.245E-17 9.135E-17 7.372E-15
9.908E-01 2.745E-16 2.842E-16 1.254E-14 1.234E-17 9.054E-17 7.180E-15
1.000E+00 3.318E-16 2.947E-16 1.243E-14 1.224E-17 8.974E-17 6.993E-15
1.009E+00 4.172E-16 3.124E-16 1.233E-14 1.213E-17 8.895E-17 6.809E-15
1.019E+00 5.448E-16 3.411E-16 1.223E-14 1.203E-17 8.817E-17 6.629E-15
1.028E+00 7.271E-16 3.840E-16 1.213E-14 1.192E-17 8.739E-17 6.453E-15
1.038E+00 9.465E-16 4.365E-16 1.203E-14 1.182E-17 8.663E-17 6.281E-15
1.047E+00 1.100E-15 4.723E-16 1.193E-14 1.172E-17 8.587E-17 6.113E-15
1.057E+00 1.055E-15 4.577E-16 1.183E-14 1.162E-17 8.512E-17 5.950E-15
1.067E+00 8.561E-16 4.037E-16 1.172E-14 1.152E-17 8.437E-17 5.790E-15
1.076E+00 6.448E-16 3.468E-16 1.162E-14 1.142E-17 8.364E-17 5.633E-15
1.086E+00 4.849E-16 3.031E-16 1.152E-14 1.132E-17 8.291E-17 5.481E-15
1.096E+00 3.763E-16 2.725E-16 1.142E-14 1.123E-17 8.219E-17 5.333E-15
